month_period,value
2009-10-17,0.0
2009-10-18,0.0
2009-10-19,0.0
2009-10-20,0.0
2009-10-21,0.0
2009-10-22,0.0
2009-10-23,198.0
2009-10-24,0.0
2009-10-25,0.0
2009-10-26,0.0
2009-10-27,51.0
2009-10-28,46.0
2009-10-29,216.0
2009-10-30,10.0
2009-10-31,528.0
2009-11-01,0.0
2009-11-02,0.0
2009-11-03,0.0
2009-11-04,0.0
2009-11-05,0.0
2009-11-06,0.0
2009-11-07,0.0
2009-11-08,0.0
2009-11-09,0.0
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.0
2009-11-13,0.0
2009-11-14,0.0
2009-11-15,0.0
2009-11-16,0.0
2009-11-17,10.0
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,66.0
2009-11-23,10.0
2009-11-24,0.0
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,0.0
2009-11-30,117.0
2009-12-01,0.0
2009-12-02,64.0
2009-12-03,13.0
2009-12-04,0.0
2009-12-05,64.0
2009-12-06,0.0
2009-12-07,46.0
2009-12-08,81.0
2009-12-09,254.0
2009-12-10,0.0
2009-12-11,0.0
2009-12-12,117.0
2009-12-13,66.0
2009-12-14,15.0
2009-12-15,122.0
2009-12-16,41.0
2009-12-17,0.0
2009-12-18,208.0
2009-12-19,0.0
2009-12-20,0.0
2009-12-21,0.0
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,8.0
2009-12-25,330.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,140.0
2010-01-01,66.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,51.0
2010-01-08,46.0
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-16,0.0
2010-01-17,165.0
2010-01-18,15.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,655.0
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,178.0
2010-01-25,0.0
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,0.0
2010-01-30,0.0
2010-01-31,0.0
2010-02-01,0.0
2010-02-02,51.0
2010-02-03,0.0
2010-02-04,178.0
2010-02-05,503.0
2010-02-06,10.0
2010-02-07,0.0
2010-02-08,0.0
2010-02-09,112.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,102.0
2010-02-13,254.0
2010-02-14,0.0
2010-02-15,36.0
2010-02-16,0.0
2010-02-17,0.0
2010-02-18,0.0
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,56.0
2010-02-23,0.0
2010-02-24,25.0
2010-02-25,0.0
2010-02-26,0.0
2010-02-27,0.0
2010-02-28,8.0
2010-03-01,0.0
2010-03-02,81.0
2010-03-03,0.0
2010-03-04,0.0
2010-03-05,0.0
2010-03-06,0.0
2010-03-07,0.0
2010-03-08,0.0
2010-03-09,102.0
2010-03-10,170.0
2010-03-11,165.0
2010-03-12,25.0
2010-03-13,0.0
2010-03-14,0.0
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,0.0
2010-03-18,0.0
2010-03-19,0.0
2010-03-20,0.0
2010-03-21,152.0
2010-03-22,3.0
2010-03-23,5.0
2010-03-24,0.0
2010-03-25,99.0
2010-03-26,71.0
2010-03-27,0.0
2010-03-28,30.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,0.0
2010-04-01,0.0
2010-04-02,0.0
2010-04-03,191.0
2010-04-04,0.0
2010-04-05,0.0
2010-04-06,0.0
2010-04-07,0.0
2010-04-08,61.0
2010-04-09,0.0
2010-04-10,0.0
2010-04-11,0.0
2010-04-12,0.0
2010-04-13,0.0
2010-04-14,30.0
2010-04-15,0.0
2010-04-16,0.0
2010-04-17,0.0
2010-04-18,0.0
2010-04-19,0.0
2010-04-20,10.0
2010-04-21,20.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-24,160.0
2010-04-25,25.0
2010-04-26,0.0
2010-04-27,8.0
2010-04-28,0.0
2010-04-29,0.0
2010-04-30,0.0
2010-05-01,13.0
2010-05-02,140.0
2010-05-03,165.0
2010-05-04,0.0
2010-05-05,0.0
2010-05-06,0.0
2010-05-07,0.0
2010-05-08,368.0
2010-05-09,0.0
2010-05-10,3.0
2010-05-11,0.0
2010-05-12,0.0
2010-05-13,0.0
2010-05-14,3.0
2010-05-15,0.0
2010-05-16,183.0
2010-05-17,30.0
2010-05-18,0.0
2010-05-19,0.0
2010-05-20,0.0
2010-05-21,165.0
2010-05-22,0.0
2010-05-23,0.0
2010-05-24,0.0
2010-05-25,0.0
2010-05-26,533.0
2010-05-27,0.0
2010-05-28,0.0
2010-05-29,102.0
2010-05-30,81.0
2010-05-31,0.0
2010-06-01,0.0
2010-06-02,254.0
2010-06-03,15.0
2010-06-04,5.0
2010-06-05,71.0
2010-06-06,30.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,5.0
2010-06-11,0.0
2010-06-12,0.0
2010-06-13,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,102.0
2010-06-17,0.0
2010-06-18,584.0
2010-06-19,38.0
2010-06-20,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,180.0
2010-06-25,0.0
2010-06-26,0.0
2010-06-27,0.0
2010-06-28,0.0
2010-06-29,0.0
2010-06-30,495.0
2010-07-01,91.0
2010-07-02,3.0
2010-07-03,0.0
2010-07-04,0.0
2010-07-05,0.0
2010-07-06,109.0
2010-07-07,15.0
2010-07-08,3.0
2010-07-09,0.0
2010-07-10,3.0
2010-07-11,0.0
2010-07-12,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,0.0
2010-07-17,91.0
2010-07-18,318.0
2010-07-19,46.0
2010-07-20,124.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-24,0.0
2010-07-25,160.0
2010-07-26,0.0
2010-07-27,43.0
2010-07-28,10.0
2010-07-29,333.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,41.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,3.0
2010-08-06,417.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-10,10.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,15.0
2010-08-15,91.0
2010-08-16,3.0
2010-08-17,0.0
2010-08-18,112.0
2010-08-19,20.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,91.0
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-28,0.0
2010-08-29,122.0
2010-08-30,3.0
2010-08-31,3.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,191.0
2010-09-05,0.0
2010-09-06,0.0
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,0.0
2010-09-10,0.0
2010-09-11,0.0
2010-09-12,8.0
2010-09-13,0.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,0.0
2010-09-18,0.0
2010-09-19,0.0
2010-09-20,0.0
2010-09-21,0.0
2010-09-22,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-09-25,0.0
2010-09-26,0.0
2010-09-27,94.0
2010-09-28,0.0
2010-09-29,0.0
2010-09-30,0.0
2010-10-01,0.0
2010-10-02,0.0
2010-10-03,0.0
2010-10-04,0.0
2010-10-05,0.0
2010-10-06,0.0
2010-10-07,0.0
2010-10-08,0.0
2010-10-09,0.0
2010-10-10,0.0
2010-10-11,0.0
2010-10-12,0.0
2010-10-13,86.0
2010-10-14,0.0
2010-10-15,0.0
2010-10-16,0.0
2010-10-17,0.0
2010-10-18,0.0
2010-10-19,0.0
2010-10-20,15.0
2010-10-21,0.0
2010-10-22,0.0
2010-10-23,0.0
2010-10-24,0.0
2010-10-25,25.0
2010-10-26,0.0
2010-10-27,81.0
2010-10-28,325.0
2010-10-29,0.0
2010-10-30,0.0
2010-10-31,0.0
2010-11-01,0.0
2010-11-02,0.0
2010-11-03,594.0
2010-11-04,66.0
2010-11-05,0.0
2010-11-06,0.0
2010-11-07,0.0
2010-11-08,0.0
2010-11-09,0.0
2010-11-10,0.0
2010-11-11,0.0
2010-11-12,0.0
2010-11-13,0.0
2010-11-14,46.0
2010-11-15,292.0
2010-11-16,170.0
2010-11-17,10.0
2010-11-18,30.0
2010-11-19,0.0
2010-11-20,0.0
2010-11-21,0.0
2010-11-22,0.0
2010-11-23,0.0
2010-11-24,8.0
2010-11-25,0.0
2010-11-26,140.0
2010-11-27,25.0
2010-11-28,0.0
2010-11-29,0.0
2010-12-01,30.0
2010-12-02,0.0
2010-12-03,0.0
2010-12-04,0.0
2010-12-05,0.0
2010-12-06,0.0
2010-12-07,0.0
2010-12-08,0.0
2010-12-09,0.0
2010-12-10,0.0
2010-12-11,0.0
2010-12-12,170.0
2010-12-13,0.0
2010-12-14,0.0
2010-12-15,0.0
2010-12-16,0.0
2010-12-17,8.0
2010-12-18,3.0
2010-12-19,0.0
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,0.0
2010-12-23,0.0
2010-12-24,0.0
2010-12-25,28.0
2010-12-26,5.0
2010-12-27,64.0
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,56.0
2010-12-31,0.0
2011-01-01,635.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,0.0
2011-01-05,81.0
2011-01-06,36.0
2011-01-07,0.0
2011-01-08,0.0
2011-01-09,0.0
2011-01-10,102.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-15,0.0
2011-01-16,0.0
2011-01-17,112.0
2011-01-18,8.0
2011-01-19,25.0
2011-01-20,0.0
2011-01-21,25.0
2011-01-22,0.0
2011-01-23,0.0
2011-01-24,0.0
2011-01-25,457.0
2011-01-26,30.0
2011-01-27,0.0
2011-01-28,0.0
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,394.0
2011-02-01,13.0
2011-02-02,81.0
2011-02-03,0.0
2011-02-04,30.0
2011-02-05,107.0
2011-02-06,0.0
2011-02-07,66.0
2011-02-08,0.0
2011-02-09,0.0
2011-02-10,71.0
2011-02-11,0.0
2011-02-12,0.0
2011-02-13,0.0
2011-02-14,0.0
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-19,0.0
2011-02-20,0.0
2011-02-21,0.0
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,142.0
2011-02-26,0.0
2011-02-27,0.0
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,3.0
2011-03-03,0.0
2011-03-04,0.0
2011-03-05,86.0
2011-03-06,361.0
2011-03-07,0.0
2011-03-08,5.0
2011-03-09,635.0
2011-03-10,81.0
2011-03-11,0.0
2011-03-12,0.0
2011-03-13,0.0
2011-03-14,0.0
2011-03-15,160.0
2011-03-16,0.0
2011-03-17,0.0
2011-03-18,0.0
2011-03-19,0.0
2011-03-20,0.0
2011-03-21,0.0
2011-03-22,0.0
2011-03-23,0.0
2011-03-24,20.0
2011-03-25,0.0
2011-03-26,0.0
2011-03-27,56.0
2011-03-28,0.0
2011-03-29,0.0
2011-03-31,28.0
2011-04-01,0.0
2011-04-02,36.0
2011-04-03,0.0
2011-04-04,0.0
2011-04-05,165.0
2011-04-06,0.0
2011-04-07,0.0
2011-04-08,0.0
2011-04-09,0.0
2011-04-10,0.0
2011-04-11,0.0
2011-04-12,64.0
2011-04-13,0.0
2011-04-14,0.0
2011-04-15,0.0
2011-04-16,330.0
2011-04-17,0.0
2011-04-18,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,229.0
2011-04-22,241.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,51.0
2011-04-27,254.0
2011-04-28,0.0
2011-05-01,0.0
2011-05-02,0.0
2011-05-03,183.0
2011-05-04,241.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-07,0.0
2011-05-08,0.0
2011-05-09,0.0
2011-05-10,0.0
2011-05-11,0.0
2011-05-12,0.0
2011-05-13,0.0
2011-05-14,0.0
2011-05-15,0.0
2011-05-16,0.0
2011-05-17,0.0
2011-05-18,0.0
2011-05-19,0.0
2011-05-20,0.0
2011-05-21,30.0
2011-05-22,0.0
2011-05-23,0.0
2011-05-24,0.0
2011-05-25,0.0
2011-05-26,0.0
2011-05-27,0.0
2011-05-28,0.0
2011-05-29,0.0
2011-05-30,0.0
2011-05-31,0.0
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-04,0.0
2011-06-05,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,30.0
2011-06-09,0.0
2011-06-10,94.0
2011-06-11,0.0
2011-06-12,0.0
2011-06-13,0.0
2011-06-14,0.0
